_id,url,time,fixtime,language,repositoryname,repositoryurl,star,commitnum,tag,day_of_fix
55,https://github.com/CGAL/cgal/pull/6695,2022/6/22,2022/7/4,c,cgal,cgal,4400,106731,wrong deallocator call,12
56,https://github.com/CGAL/cgal/pull/6691,2022/6/21,2022/6/29,c,cgal,cgal,4400,107631,temporary memory leak,8
57,https://github.com/CGAL/cgal/pull/6673,2022/6/16,2022/6/29,c,cgal,cgal,4400,106731,temporary memory leak,13
58,https://github.com/CGAL/cgal/pull/5993,2021/9/15,2021/9/23,c,cgal,cgal,4400,106731,temporary memory leak,8
59,https://github.com/CGAL/cgal/pull/5843,2021/7/8,2021/8/12,c,cgal,cghal,4400,106731,early return,35
60,https://github.com/CGAL/cgal/pull/5790,2021/6/22,2021/6/29,c,cgal,cgal,4400,106731,temporary memory leak,7
61,https://github.com/CGAL/cgal/pull/4992,2020/9/10,2020/9/24,c,cgal,cgal,4400,106731,temporary memory leak,14
62,https://github.com/CGAL/cgal/pull/4545,2020/2/27,2020/3/16,c,cgal,cgal,4400,106731,temporary memory leak,18
63,https://github.com/CGAL/cgal/pull/4075,2019/7/10,2019/7/18,c,cgal,cgal,44000,106731,temporary memory leak,8
64,https://github.com/CGAL/cgal/pull/3564,2018/12/10,2018/12/31,c,cgal,cgal,4400,106731,temporary memory leak,21
65,https://github.com/CGAL/cgal/pull/1541,2016/10/4,2016/10/17,c,cgal,cgal,4400,106731,temporary memory leak,13
66,https://github.com/CGAL/cgal/pull/1287,2016/7/20,2016/7/21,c,cgal,cgal,4400,106731,wrong deallocator call,1
68,https://github.com/CGAL/cgal/pull/764,2016/2/11,2016/2/16,cpp,cgal,cgal,4400,106731,temporary memory leak,5
69,https://github.com/CGAL/cgal/pull/757,2016/2/9,2016/2/10,cpp,cgal,cgal,4400,106731,wrong deallocator call,1
70,https://github.com/CGAL/cgal/pull/640,2016/1/16,2016/2/1,cpp,cgal,cgal,4400,106731,temporary memory leak,16
